"Year","est","se","CV","lo","hi"
1989,5780.98312247229,1.14636381651709,0.137234672459568,4423.15132214337,7555.64606053651
1990,7077.00633371364,1.29858838972384,0.265800996994266,4240.81668905394,11809.9937629221
1991,4423.43729428093,1.32297862256393,0.285457524961956,2555.76378953771,7655.94910473894
1992,3472.49551506201,1.32376609004649,0.286088576442953,2003.99220025245,6017.10181337369
1993,1523.13944111778,1.33815963848621,0.297585219622122,860.574918360829,2695.81846692383
1994,12878.9945272984,1.34664884875247,0.304332989465888,7187.0068713576,23078.939954158
1995,26318.8752782117,1.3812278760461,0.331581242572981,13975.0162536919,49565.8239915872
1996,24411.7213208324,1.40255420463386,0.348208703662425,12578.8567725614,47375.6994471794
1997,4479.13991073234,1.38752066427366,0.336501026649382,2357.27586657796,8510.96582473405
1998,1860.79507664186,1.36360678221207,0.317742201772166,1013.24077882625,3417.31046520419
1999,38311.1169887311,1.34670220528182,0.304375325373615,21377.5135496525,68658.2039354198
2000,33805.6694808355,1.36511929968868,0.318933792224806,18367.9217371027,62218.4319709411
2001,10846.2436968102,1.36354855142077,0.317696312252377,5906.4947174951,19917.2280611953
2002,21500.3863907215,1.35680806542971,0.312377219963164,11822.6529476844,39100.0748305701
2003,5311.27992564796,1.55449920556063,0.463513571040932,2237.11702347653,12609.8430044363
2004,2731.18675309118,1.37371434429798,0.325691809490697,1465.8156518601,5088.89441233276
2005,3966.93165681958,1.37489321724235,0.326616974305342,2125.45795374904,7403.83819031565
2006,20538.3224375213,1.36043711672199,0.315242770014779,11234.661109491,37546.5431877815
2007,16384.5598520921,1.3624196064048,0.316806424343417,8936.96962969192,30038.5715371443
2008,19227.9545360474,1.36770969549028,0.320972915630431,10408.5417922902,35520.272005264
2009,19842.2602109228,1.36258948520569,0.316940356211533,10820.3302126182,36386.6243027258
2010,7327.91891807491,1.3666893286298,0.320169943546417,3972.58068681979,13517.2573959392
2011,17090.5261674796,1.37270467303537,0.32489909978118,9185.63636192778,31798.1327773794
2012,69502.4704164962,1.35816043397836,0.313445555019281,38143.5336499407,126642.524479465
2013,26276.0099639665,1.38184410069052,0.332063525096886,13940.0631420389,49528.3767793241
2014,11908.0048653003,1.37773101408438,0.32884233700622,6354.50496047335,22314.9687904961
2015,11395.4684739185,1.37221151786235,0.324511803692924,6129.03152280559,21187.1486150602
2016,45416.1653536774,1.37628322171927,0.327707297608018,24285.5609795542,84932.2804265908
2017,18132.0907130693,1.38208889833605,0.33225508280319,9616.17651634188,34189.5464448111
2018,5237.15418633526,1.3712232962243,0.323735489169955,2820.77378842174,9723.49646895832
2019,20232.6315846046,1.37687819007313,0.328173816077396,10809.9119209987,37868.8914239108
2020,26463.9728106861,1.38868718115667,0.337411765168241,13904.5040049784,50367.9855587789
2021,22717.5296402111,1.42116990617166,0.362620382777689,11407.2362460205,45241.9974324554
