"Year","est","se","CV","lo","hi"
1989,22192.5936980618,1.15918087976038,0.148523044671754,16613.9922275523,29644.3629141997
1990,34957.0826169368,1.27887599297317,0.249749791585723,21585.1611846948,56612.8561483161
1991,13492.8486483047,1.28247307445718,0.252690230651298,8285.77162086289,21972.2402422548
1992,16774.2956406788,1.29263323779818,0.260967903322713,10142.7724635774,27741.6254038347
1993,13709.0303719343,1.30417453980909,0.270322347011236,8146.15906288304,23070.6904060995
1994,30182.7962573919,1.27522866322283,0.246762932657477,18741.772680922,48608.0588760192
1995,50144.1372943494,1.26688362197757,0.239908467360043,31539.8693111117,79722.4135646217
1996,39087.0089681291,1.27280770954446,0.244777372073056,24361.3375269169,62713.8911558753
1997,8048.35291902314,1.30323424829515,0.269562110677474,4789.245335076,13525.3009977866
1998,17059.8309626454,1.29946851697394,0.266514141994281,10209.3461137022,28507.0002753092
1999,40912.5175172449,1.26286208076754,0.236594851749555,25894.1849299113,64641.3120988167
2000,69896.2532011988,1.2670400596246,0.240037228984267,43952.9996604635,111152.509483003
2001,10490.1103924171,1.33023515173238,0.291264470333075,5996.32023917111,18351.657625996
2002,20086.5221843239,1.32224555747852,0.284869873338799,11618.1604376678,34727.388696857
2003,20049.5234155378,1.47506802049602,0.403859328048666,9359.19552454433,42950.6348206962
2004,14851.5357279727,1.30429471469182,0.270419485920807,8823.46322983523,24997.9070274167
2005,8861.32273979642,1.30632033220453,0.272056008097756,5248.62262815105,14960.694693056
2006,14592.9774507547,1.30090132336358,0.267674480732573,8714.23142182912,24437.6102228343
2007,21186.093514858,1.28185263509963,0.25218342265299,13022.4318033581,34467.491571318
2008,26508.3489898588,1.27786510698808,0.248922501897711,16393.6588024425,42863.6812950782
2009,18660.4168026248,1.29070706857854,0.259401729802583,11316.26377639,30770.8588389556
2010,19149.4805843736,1.30305959584448,0.269420865714734,11398.0656129598,32172.3544242766
2011,19676.6405079878,1.29599213578482,0.263695597792392,11837.346730386,32707.5138119198
2012,27027.1419191892,1.29088661343465,0.259547779220535,16385.6413724488,44579.6648246077
2013,36717.3357166095,1.30661070380321,0.272290477907548,21738.4597096778,62017.3995826401
2014,17918.3012843588,1.29679361278827,0.264345820270954,10766.4867123661,29820.8254460842
2015,18042.9261538861,1.29465610243047,0.26261115236999,10876.479418378,29931.3014507717
2016,27849.8457189823,1.28228850582721,0.252539481241439,17107.0298842996,45338.8993774398
2017,22327.9282702834,1.2937684447077,0.261890269227292,13477.6325036774,36989.9075899935
2018,14404.2554568442,1.31457854148125,0.278712251907325,8427.00937379541,24621.1397261776
2019,29149.8011379967,1.2926806550924,0.261006440286686,17624.4982677994,48211.9203323482
2020,29472.2003187571,1.30011220478832,0.26703551995006,17620.337732564,49295.9104877812
2021,16075.6639919007,1.33550851835538,0.295473003121278,9118.1343496229,28342.0887290588
